"ACAD_CAREER","ZIP_CODE","HEADCOUNT"
"GRAD","96813",1
"GRAD","96814",1
"GRAD","96822",1
"GRAD","96913",1
"GRAD","97124",1
"GRAD","97128",1
"GRAD","97132",1
"GRAD","97306",1
"GRAD","97392",1
"GRAD","98011",1
"GRAD","98040",1
"GRAD","98052",1
"GRAD","98056",1
"GRAD","98110",1
"GRAD","98178",1
"GRAD","98188",1
"GRAD","98221",1
"GRAD","98273",1
"GRAD","98335",1
"GRAD","98338",1
"GRAD","98405",1
"GRAD","98516",1
"GRAD","98671",2
"GRAD","99004",1
"GRAD","99338",1
"GRAD","99502",1
"GRAD","99507",1
"GRAD","99907",1
"GRAD","P0H 1",1
"GRAD","T1B4M",1
"GRAD","T8N4H",1
"GRAD","V0R 1",1
"LAWS","-",1
"LAWS","03740",1
"LAWS","06460",1
"LAWS","10001",1
"LAWS","11598",1
"LAWS","14626",1
"LAWS","183-0",1
"LAWS","21409",1
"LAWS","22031",1
"LAWS","28127",1
"LAWS","33183",1
"LAWS","33458",1
"LAWS","33556",1
"LAWS","34202",1
"LAWS","34212",1
"LAWS","34715",1
"LAWS","36571",1
"LAWS","40509",1
"LAWS","43068",1
"LAWS","48130",1
"LAWS","48374",1
"LAWS","55407",1
"LAWS","57069",1
"LAWS","62704",1
"LAWS","77840",1
"LAWS","80908",1
"LAWS","82070",1
"LAWS","82939",1
"LAWS","83201",1
"LAWS","83263",1
"LAWS","84003",2
"LAWS","84058",1
"LAWS","84093",1
"LAWS","84124",1
"LAWS","84604",1
"LAWS","84648",1
"LAWS","84660",1
"LAWS","84742",1
"LAWS","84780",1
"LAWS","84790",1
"LAWS","85249",1
"LAWS","85382",1
"LAWS","85739",1
"LAWS","85747",1
"LAWS","86001",1
"LAWS","89002",6
"LAWS","89005",4
"LAWS","89011",11
"LAWS","89012",16
"LAWS","89014",9
"LAWS","89015",10
"LAWS","89031",5
"LAWS","89042",1
"LAWS","89044",7
"LAWS","89048",1
"LAWS","89052",9
"LAWS","89074",18
"LAWS","89081",4
"LAWS","89084",2
"LAWS","89101",2
"LAWS","89102",6
"LAWS","89103",3
"LAWS","89104",7
"LAWS","89107",3
"LAWS","89108",3
"LAWS","89109",5
"LAWS","89110",5
"LAWS","89113",14
"LAWS","89117",13
"LAWS","89118",2
"LAWS","89119",15
"LAWS","89120",8
"LAWS","89121",7
"LAWS","89122",8
"LAWS","89123",12
"LAWS","89128",7
"LAWS","89129",7
"LAWS","89130",3
"LAWS","89131",10
"LAWS","89134",5
"LAWS","89135",12
"LAWS","89138",8
"LAWS","89139",6
"LAWS","89141",7
"LAWS","89142",1
"LAWS","89143",2
"LAWS","89144",8
"LAWS","89145",5
"LAWS","89146",1
"LAWS","89147",14
"LAWS","89148",17
"LAWS","89149",6
"LAWS","89156",1
"LAWS","89158",1
"LAWS","89166",1
"LAWS","89169",7
"LAWS","89178",10
"LAWS","89183",11
"LAWS","89403",1
"LAWS","89411",2
"LAWS","89433",2
"LAWS","89434",1
"LAWS","89436",3
"LAWS","89441",1
"LAWS","89501",1
"LAWS","89502",1
"LAWS","89503",1
"LAWS","89509",1
"LAWS","89511",2
"LAWS","89519",2
"LAWS","89521",1
"LAWS","89523",2
"LAWS","90606",1
"LAWS","90746",1
"LAWS","91107",1
"LAWS","91362",1
"LAWS","91364",1
"LAWS","91709",1
"LAWS","91730",1
"LAWS","91786",1
"LAWS","92555",1
"LAWS","92688",1
"LAWS","92869",1
"LAWS","94133",1
"LAWS","94539",1
"LAWS","95628",1
"LAWS","95655",1
"LAWS","95765",1
"LAWS","95926",1
"LAWS","97703",1
"LAWS","98815",1
"MEDI","89002",3
"MEDI","89011",3
"MEDI","89012",1
"MEDI","89014",3
"MEDI","89030",1
"MEDI","89031",2
"MEDI","89044",1
"MEDI","89052",17
"MEDI","89074",9
"MEDI","89081",1
"MEDI","89084",2
"MEDI","89086",1
"MEDI","89101",1
"MEDI","89102",7
"MEDI","89103",3
"MEDI","89106",4
"MEDI","89107",4
"MEDI","89108",4
"MEDI","89109",4
"MEDI","89110",6
"MEDI","89113",7
"MEDI","89117",13
"MEDI","89118",1
"MEDI","89119",1
"MEDI","89121",2
"MEDI","89122",4
"MEDI","89123",6
"MEDI","89128",5
"MEDI","89129",10
"MEDI","89130",1
"MEDI","89131",2
"MEDI","89134",10
"MEDI","89135",15
"MEDI","89138",6
"MEDI","89139",5
"MEDI","89141",7
"MEDI","89142",2
"MEDI","89143",2
"MEDI","89144",10
"MEDI","89145",3
"MEDI","89146",2
"MEDI","89147",6
"MEDI","89148",14
"MEDI","89149",4
"MEDI","89166",3
"MEDI","89178",8
"MEDI","89179",2
"MEDI","89183",4
"MEDI","89406",1
"MEDI","89436",1
"MEDI","89441",1
"MEDI","89460",1
"MEDI","89512",1
"MEDI","89519",2
"MEDI","89521",2
"MEDI","89523",1
"MEDI","89703",2
"MEDI","89815",1
"MEDI","90024",1
"MEDI","94015",1
